id,name,legacy_firestore_id,quantity,cost_price,unit_price
54671ca0-06ef-4d95-b189-8f536c8c0ef1,glutathione injection soap,XAkDrSMpFgHZzpUHl3NJ,26.00,1700.00,3500.00
bfde7164-2482-4862-8faf-6b8e6b43c145,X 7 Lotions,1C8OodR7fGCES6pxZYTo,5.00,0.00,6500.00
d3b330db-7e88-41ba-98d0-f782ce9964be,24k Sprays,OsNoggSSWzq8arHVzCnA,6.00,0.00,3500.00
bee7f32e-a3cf-45a3-90ef-d4734950a9f6,Pure Egyptian gold,aKUiBLD6uAiMWEN9P5sB,11.00,6000.00,9000.00
2eda2d59-3ec4-4fa3-8ace-08be4476e190,VONE 45 Soap,IRJmgYLMuzBB3ld3E7FK,27.00,1700.00,3000.00
8fa25060-f27f-4e12-896a-ad7676255a0f,ponds powder small,p0Xc6QiaX0EDuyoSViUl,19.00,1000.00,1500.00
69343396-a959-4b55-9107-30b99b593b46,Kids And More Organic Fair Active,bVwFxliPwCWfYJRTLDzM,13.00,2000.00,3000.00
fdefc506-ce0b-4f28-adf4-96e28dbf9655,9Pm Spray,KAIyyCaETtIPZKAP9eII,10.00,2375.00,4000.00
7e3fb21d-1b90-4017-a70e-f0e68f5f8dca,The Ordinary Serum,lgAuhaEz4zmubFqbI6Br,13.00,8000.00,14000.00
01b5ed0e-5cbd-46c0-9329-85139323a1f1,Vaseline GLUTA-HYA,cYjtvmDKDSmWSJmUxDkz,1.00,11000.00,13000.00
b6108061-f11b-48a4-ad12-c13b15045f3f,Karis Spray,770DVHC3pwRY1Brr1GH3,34.00,2900.00,3500.00
6de1231f-bd3c-4f05-89c7-aedfe4ef9619,Nivea Advocado,3IJjm83LpzrT9n5kzD8S,10.00,5208.00,6000.00
cfd8293c-2715-4539-9616-5f1b7bf8f84e,1001 sence body splash,bXz5K9Lc51yDOQJ38GUZ,209.00,2750.00,4000.00
1d170348-49f3-4ded-89ba-8a0a1a3967b4,Official Crystal Perfum,AsGINL8fn6wB0eKpsGtZ,10.00,0.00,4500.00
b79fb0e7-0798-492b-989e-874a2e6c84b5,9pm 30ml,EB2bwC1a8pjOGLqkPfon,9.00,0.00,4500.00
d1a1d930-172c-4ccd-a297-c98712b7571c,Veet Gold Turmeric & vitamin c Soap,gHD24WojaUhmXftAgGWz,105.00,1700.00,3500.00
6a983395-9cc8-4b04-b79e-2411d6d1013f,Hollywood activator,GF5AReiacTIOkn991VMX,1.00,7000.00,10000.00
3b43ffba-f8c2-4cb3-b695-f8c2445065e9,Mega Growth leaving conditioner,50yV1YpOr9qeshH8W1i2,10.00,1500.00,2000.00
9d3e63c9-d8b4-4b12-afff-1c479395a285,Smooth As Silk soap Small,CxQvHB2AjNlKB3pvz11a,23.00,1700.00,2500.00
d93cca47-2754-47d9-bc30-7a8b6f06d6c2,Bio Cos Face Wash,DENDoJq0jrc1XKm85mXB,7.00,3500.00,5000.00
6ca31529-fe69-4cdc-8b94-b9e503c9f314,Orbi 20 Soap,LpFJd38CasaaY9dNOL7d,40.00,1700.00,3000.00
1bd2fffe-073a-4a08-8588-fa53d98cf519,Egyptian secret lotions,RgjjylHHVEai9z08CJQW,8.00,5500.00,9000.00
c1fe4eb6-035a-4693-a0a3-68d9d11e43da,beauty formula facial wash,l7uZso5HjINicRQfEIYo,9.00,3000.00,4000.00
b1206ab0-308d-4024-8c42-f6dee476d88e,veet gold young face soap,g85yXwSkBVLhbpKE7oVh,2.00,0.00,3500.00
b772d6e4-f8dd-4745-91bd-d924ef787880,advanced white soap,gveH3PBMK8VQfGsB46Qs,38.00,1700.00,3500.00
039308dc-bfa0-48a1-9536-fbed8f77e9da,Filipino Lotion,NHrg1OvFGvFLodIzqtnm,2.00,15000.00,18000.00
75674978-766d-44b4-842c-acdaf535504d,Peau Claire,a1J3pTniBQGPuwX48OWT,11.00,1500.00,1800.00
5f5e73c0-1817-4eff-a3de-4a5331fd4d78,cosmo whitening roll on,h2AjX3yGpBVopyHOxtOP,28.00,3750.00,4500.00
66bd5cbf-acdd-4596-8e0d-7adf59503f43,Fogg spray,JYoGyBIqX5l8K23HZGNN,6.00,2916.00,3500.00
3040b0b5-8aee-4dbf-910b-a7293f9f516f,so white oil,ja0wD0TZ5EMRnypvaH09,9.00,14000.00,18000.00
db912d1e-e667-4a91-bc99-d86019e6a08c,sure sprays,fiyRtEFHKi7Sx2bRywOZ,47.00,3600.00,4500.00
918dc4b5-99e0-49f0-98b6-0fd34d3ad09b,Veet Gold body wash,j2yxmxuymP14asGW768m,21.00,5000.00,7000.00
31227a4d-cb7b-41f5-9948-cf83a1d1dce3,Tcb Naturals 250ml,aYTxNV2S8r1IXNRabGvM,27.00,2200.00,3000.00
2e4f3b84-d071-476b-8d5d-f9a24ab2fcef,Irish Gold,PPtdJP7x6e8b18vnAwFF,20.00,2500.00,3000.00
37dfd862-57eb-4cff-9fe6-8f74ab94539c,Glutathione Vitamin C Face Cream,mTtX4hROph0iAnsxDjjK,9.00,13500.00,18000.00
02717708-9e07-4056-a3b6-d7398c0664e2,SUPREMACY Afnan,mE0KQDcSqocKYNcdT8LJ,2.00,72000.00,85000.00
6cbd6588-d444-460c-8d12-04f0e7c42469,KHAMRA 50ML,JY6vrYhXMRpJ0mY6Pqpr,1.00,4000.00,7000.00
a2b815e4-74ec-4fe3-820c-29ae57702c76,vaseline B3 oil1 tick,wvMTncmtjuXnCB5UtwQL,23.00,6500.00,10000.00
1d90c4ef-f323-488c-a056-1f52b6818380,HI-STEE whitening Body Lotion,6xaBn4f25p38uZnVmIpy,11.00,3500.00,4000.00
4d7f31d7-bcd8-4fb2-ae9f-ca3d6a671286,Kaly perfumes,b0uSkuz8SP8zx7Rr34Rp,17.00,6666.00,8000.00
ca27105c-ab4e-4bcc-a9a6-1f42951293b9,Face Facts Serum,BQXxPFg66OomxCNKPIzw,96.00,3000.00,4500.00
92a28837-2035-4c5a-8942-87b2b5d3a12c,Rexona Roll On,wLW1dmVr0x9zrEtq7Xug,28.00,1500.00,2000.00
6c415b7f-5c0a-4777-ba87-d7931cd3662d,vitamin e facial wash,xiK8UBlUS1IvAQ6Cie11,7.00,4000.00,6000.00
765d65fe-4a26-4920-a4af-50289db64d9d,345 cream tube,dwZRJw95ngqupGajZYvd,3.00,18500.00,25000.00
af6b991e-255b-4734-b398-dfa9762d059e,Dr Teals Body Wash,hzWLoNcAgIE2sXC9YRHi,1.00,8000.00,10000.00
d04893d9-2534-421e-b179-c7ece88fb95e,parley face soap,LbJUkjnGdJywN4sdhgp8,23.00,2000.00,4000.00
fe27aaff-7a8d-4293-902a-1d2ebf453e3d,Erha21 Hand Cream,HJcNOJnL7Wsw1yXbaNb3,9.00,1500.00,3000.00
48a78172-f401-4308-a331-77f95d61df58,classic foundation,kdUHpv6WZXkL8ZmyuhWG,11.00,4500.00,5500.00
